                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3028,                  3.864,                 2.2165,                0.00949,                0.18044,                0.05452,                0.02347,                 2.2332,                  4.348,                 2.3021,              0.0001125,              0.0001125,              0.0001125
                      2,                 2.1307,                 3.3291,                 2.0814,                0.01505,                0.21402,                0.08138,                0.03886,                 1.9325,                  4.037,                 2.0189,             0.00023515,             0.00023515,             0.00023515
                      3,                 1.8663,                 2.7869,                 1.8483,                0.02677,                0.24692,                0.08231,                0.03497,                 1.9146,                  4.008,                 1.8986,             0.00035532,             0.00035532,             0.00035532
                      4,                 1.8698,                 2.5896,                 1.8128,                0.04442,                0.23955,                0.07852,                0.03144,                 2.0956,                 3.9354,                 1.9605,             0.00047302,             0.00047302,             0.00047302
                      5,                 1.8664,                 2.4429,                 1.7637,                  0.978,                0.04125,                 0.0935,                0.04821,                 2.0378,                 3.7332,                 2.0893,             0.00058824,             0.00058824,             0.00058824
                      6,                 1.8234,                 2.4135,                 1.7629,                0.92946,                0.05315,                0.19426,                0.06542,                 2.2201,                 3.6456,                 2.2706,             0.00070099,             0.00070099,             0.00070099
                      7,                 1.8165,                 2.2649,                 1.7153,                0.74297,                0.13184,                 0.2605,                0.10788,                 1.9832,                 3.2304,                 1.9855,             0.00081127,             0.00081127,             0.00081127
                      8,                 1.7446,                 2.1985,                 1.6884,                0.88938,                 0.0975,                0.27292,                0.11768,                 2.0362,                 3.2997,                 2.0344,             0.00091907,             0.00091907,             0.00091907
                      9,                 1.8305,                 2.2173,                 1.7257,                0.79225,                0.12284,                0.19406,                 0.0816,                  2.167,                 3.5169,                 2.0735,              0.0010244,              0.0010244,              0.0010244
                     10,                 1.7075,                 2.1404,                 1.6898,                0.70388,                0.20414,                0.26075,                0.12692,                  2.122,                 3.3001,                 2.2149,              0.0011272,              0.0011272,              0.0011272
                     11,                 1.7542,                 2.0872,                 1.6708,                0.42911,                0.28609,                0.30313,                0.13571,                  2.096,                 3.2643,                 2.3128,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.6987,                 1.9328,                 1.6195,                0.33265,                0.28945,                 0.2228,                0.09033,                 2.4611,                 4.4874,                 2.8369,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.6291,                 1.9183,                 1.5701,                0.47542,                0.20661,                0.22394,                0.10844,                 2.4026,                 5.1394,                 2.6995,              0.0011015,              0.0011015,              0.0011015
                     14,                  1.677,                 1.8845,                 1.6743,                0.50792,                0.31719,                0.32358,                0.14054,                 2.6616,                  5.138,                 3.4473,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.6402,                 1.9063,                 1.5931,                0.48827,                0.40335,                0.28767,                0.12203,                 2.1957,                 6.9808,                 2.3218,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.7227,                 1.9958,                 1.6642,                0.54226,                0.31555,                0.35121,                0.14123,                 1.9925,                 2.6236,                 2.0062,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.6562,                 1.9512,                 1.6562,                0.48613,                0.32498,                0.30885,                0.12805,                 2.2046,                 2.8599,                 2.3336,               0.001052,               0.001052,               0.001052
                     18,                 1.6574,                 1.8659,                 1.6282,                0.65899,                0.31674,                0.29614,                0.13687,                 1.9431,                  2.613,                 1.9672,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.6004,                 1.7957,                 1.5794,                0.64686,                0.35826,                0.37521,                0.16518,                 1.7906,                 2.1813,                 1.8348,              0.0010273,              0.0010273,              0.0010273
                     20,                  1.723,                 1.8746,                 1.6316,                0.72279,                0.34195,                0.39134,                  0.215,                 1.6677,                 2.1084,                 1.7084,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.6635,                 1.7989,                 1.6172,                0.62617,                0.36467,                0.40385,                0.21838,                 1.7466,                 2.3067,                 1.7968,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.6024,                 1.7255,                 1.5708,                0.56428,                0.35125,                0.39133,                0.20216,                 1.7252,                 2.2954,                 1.7924,             0.00099013,             0.00099013,             0.00099013
                     23,                  1.532,                 1.6613,                 1.4959,                0.51694,                0.37776,                 0.3686,                0.19487,                  1.688,                 2.2395,                 1.7848,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.5305,                 1.6525,                 1.5296,                0.52443,                0.40567,                0.43776,                 0.2317,                 1.6229,                 1.9667,                 1.6935,             0.00096537,             0.00096537,             0.00096537
